!|ChildID|ParentID
155B9912AB     |CONDUIT-155B9912AB-0.375
B4A72A    0942P|PLATE-B4A72A-0.375
B4A72A    0946P|PLATE-B4A72A-0.312
B4A72A    0975P|PLATE-B4A72A-0.625
B4A72A    1137P|PLATE-B4A72A-1.375
B4A72A    1138P|PLATE-B4A72A-1.625
B4A72A    1156P|PLATE-B4A72A-0.250
B4A72A    1162P|PLATE-B4A72A-1.500
B4A72A    1479P|PLATE-B4A72A-5.750
B4A72A    1777P|PLATE-B4A72A-0.250
B4A72A    2794P|PLATE-B4A72A-0.312
B4A8B2    5632P|PLATE-B4A8B2-0.250
B4A8B2    5636P|PLATE-B4A8B3-0.250
B4A8B2    5747P|PLATE-B4A8B4-0.250
B4C1B     1721R|ROUND_BAR-B4C1B-2.500
B4Y10D1   1580U|PIPE-B4Y10D1-3.000
B4Y10D1   1974U|PIPE-B4Y10D1-3.500
B4Y10D1   2158U|PIPE-B4Y10D1-2.500
B4Y10D1   4244U|PIPE-B4Y10D1-0.500
B50E123A  4156F|FLAT_BAR-B50E123A-1.500
B50E124A  0195P|PLATE-B50E124A-0.500
B50E124A  0593P|PLATE-B50E124A-0.750
B50E124A  0774P|PLATE-B50E124A-1.000
B50E124A  0942P|PLATE-B50E124A-0.375
B50E124A  0975P|PLATE-B50E124A-0.625
B50E124A  1156P|PLATE-B50E124A-0.250
B50E124A  1162P|PLATE-B50E124A-1.500
B50E124A  1333S|SHEET-B50E124A-0.179
B50E124A  1506S|SHEET-B50E124A-0.120
B50E124A  4668P|PLATE-B50E124A-0.394
B50E124A3 3048S|SHEET-B50E124A3-0.179
B50E124A3 3438S|SHEET-B50E124A3-0.179
B50E124A3 3788S|SHEET-B50E124A3-0.120
B50E124A3 5636P|PLATE-B50E124A3-0.250
B50E124A3 5710S|SHEET-B50E124A3-0.179
B50E124A3 5763S|SHEET-B50E124A3-0.236
B50E124A3 5777S|SHEET-B50E124A3-0.179
B50E147A  1569T|ROUND_TUBE-B50E147A-0.250
B50E147A  1733T|ROUND_TUBE-B50E147A-1.000
B50E147A  1802T|ROUND_TUBE-B50E147A-0.375
B50E147A  1803T|ROUND_TUBE-B50E147A-0.750
B50E147A  1983T|ROUND_TUBE-B50E147A-0.500
B50E147A  2201T|ROUND_TUBE-B50E147A-0.500
B50E147A  3611T|ROUND_TUBE-B50E147A-0.625
B50E147A  5810T|ROUND_TUBE-B50E147A-0.500
B50E197   2194T|ROUND_TUBE-B50E197-4.000
B50E197A  2194T|ROUND_TUBE-B50E197A-4.000
B50E197A  2714T|ROUND_TUBE-B50E197A-3.500
B50E197A  4107T|ROUND_TUBE-B50E197A-4.500
B50E197A  4109T|ROUND_TUBE-B50E197A-5.625
B50E197A  4656T|ROUND_TUBE-B50E197A-5.625
B50E199A  2186U|PIPE-B50E199A-0.500
B50E199A  2187U|PIPE-B50E199A-0.750
B50E199A  2189U|PIPE-B50E199A-1.500
B50E199A  2190U|PIPE-B50E199A-2.000
B50E199B  1772U|PIPE-B50E199B-1.250
B50E199B  1813U|PIPE-B50E199B-0.750
B50E199B  1969U|PIPE-B50E199B-0.500
B50E199B  2157U|PIPE-B50E199B-2.000
B50E199B  2158U|PIPE-B50E199B-2.500
B50E199B  2183U|PIPE-B50E199B-1.500
B50E93A   0192A|ANGLE-B50E93A-0.250
B50E93A   1284A|ANGLE-B50E93A-0.187
B50E93A   1602A|ANGLE-B50E93A-0.125
B50E93A   1935A|ANGLE-B50E93A-0.187
B5F4C     1930R|ROUND_BAR-B5F4C-4.000
B5Y21A    0192A|ANGLE-B5Y21A-0.250
B7A121A1  1765T|ROUND_TUBE-B7A121A1-0.500
B7A121A1  5616T|ROUND_TUBE-B7A121A1-0.375
B7A34C    2436S|SHEET-B7A34C-0.120
B7A68C    2436S|SHEET-B7A68C-0.120
B8A10B1   3481E|PERF_SHEET-B8A10B1-0.105
B8A3A     0123S|SHEET-B8A3A-0.179
B8A3A     0387S|SHEET-B8A3A-0.060
B8A3A     0458S|SHEET-B8A3A-0.090
B8A3A     0459S|SHEET-B8A3A-0.120
B8A3A     0687S|SHEET-B8A3A-0.090
B8A3A     0773S|SHEET-B8A3A-0.120
B8A3A     1112S|SHEET-B8A3A-0.179
